id,latitude,longitude,name,ref,network,operator
2025905695,-34.5644365,-58.441162,T.García y L.M.Campos,,,
2025905697,-34.5672022,-58.4436438,Teodoro García y 11 de Septiembre,,,
2025905698,-34.5654732,-58.4401275,Luis María Campos y Lacroze,,,
2025905710,-34.5674989,-58.4378156,Solar de la Abadía,,,
2025909923,-34.5081979,-58.4796199,Libertador y Corrientes,,,
2025909925,-34.5164636,-58.4760744,Libertador e Yrigoyen,,,
2025909926,-34.5013436,-58.4825917,Libertador y Roma,,,
2025909932,-34.5061711,-58.4804245,Libertador y Alberdi,,,
2025909937,-34.51409,-58.4770548,Libertador y Malaver,,,
2025909938,-34.5181348,-58.4797567,Yrigoyen y Madero,,,
2025913415,-34.5682556,-58.4431084,Lacroze y 11 de Septiembre,,,
2025913417,-34.5655938,-58.4405495,Lacroze y Luis María Campos,,,
2025913443,-34.5696476,-58.4444745,Lacroze y Cabildo,,,
2025920239,-34.5864943,-58.3984704,Las Heras y Laprida,,,
2025920241,-34.5682451,-58.4375579,Solar de la Abadía,,,
2025920242,-34.5896245,-58.3946703,Las Heras y Uriburu,,,
2025920243,-34.5913123,-58.3925758,Las Heras y Callao,,,
2025920245,-34.5698199,-58.436239,Hospital Militar,,,
2025920247,-34.5740624,-58.4322122,Avenida Dorrego,,,
2025920248,-34.5957426,-58.3849645,Santa Fe y Talcahuano,,,
2025920255,-34.5818353,-58.414731,Las Heras y Siria,,,
2025920258,-34.5840943,-58.4011483,Hospital Rivadavia,,,
2083991401,-34.6381684,-58.5299707,Puente Liniers,,,
2090328173,-34.7029174,-58.493077,Ugarte y Ojos del Salado,,,
2090586700,-34.5393357,-58.4755502,Puente Saavedra,,,
2090586716,-34.5368702,-58.4759374,Estación de Trasbordo Puente Saavedra,,,
2090587121,-34.5384092,-58.4761162,Puente Saavedra,,,
2126916047,-34.7099506,-58.5342888,Est. José Ingenieros,,,
2135080661,-34.6223544,-58.4022656,Humberto I y Jujuy,,,
2150309047,-34.5842469,-58.4778603,Ávalos y Los Incas,,,
2150559126,-34.5671436,-58.4123486,Comando de Operaciones Aéreas,,,
2152938093,-34.56325,-58.4372131,Estación Lisandro de la Torre,,,
2153043364,-34.5745764,-58.4160589,Monumento de los Españoles,,,
2153055699,-34.5754641,-58.4154405,Monumento a los Españoles,,,
2153055701,-34.5756239,-58.4135417,Libertador y La India,,,
2153055702,-34.5755173,-58.4156107,Monumento a los Españoles,,,
2153257488,-34.6459193,-58.4508702,Cementerio de Flores,,,
2176618677,-34.6192883,-58.5314588,General Paz,,,
2267205858,-34.7084638,-58.5329236,Hospital Materno Balestrini,,,
2267270114,-34.7090001,-58.5292438,Ciudad Evita,,,
2267270150,-34.7091389,-58.5296043,Ciudad Evita,,,
2267880176,-34.7066636,-58.5401038,La Quila y La Mulita,,,
2267880191,-34.7103412,-58.5341214,Est. José Ingenieros,,,
2267880416,-34.7130737,-58.5347436,Villa Rossi,,,
2267880418,-34.7130946,-58.5344125,Villa Rossi,,,
2267880896,-34.7061968,-58.5330067,Hospital Materno Balestrini,,,
2276892957,-34.5548073,-58.5027199,Villa Martelli,,,
2288456571,-34.5490342,-58.4831966,Roque Pérez y Ruiz Huidobro,,,
2299724276,-34.5979842,-58.4352597,Aguirre y Scalabrini Ortiz,,,
2299724283,-34.5986916,-58.4363171,Avenida Scalabrini Ortíz,,,
2306944239,-34.5475424,-58.4906297,Phillips,,,
2307164276,-34.5418643,-58.4456834,Ciudad Universitaria,,,
2307171646,-34.5421912,-58.4448296,Pabellón 3,,,
2307171653,-34.5454733,-58.4395313,Pabellón 1,,,
